Label,Frame Index,Time Stamp,Confidence
traffic light,146,4.87,0.28
traffic light,147,4.90,0.32
traffic light,148,4.93,0.30
traffic light,149,4.97,0.28
traffic light,150,5.00,0.32
traffic light,151,5.03,0.31
traffic light,152,5.07,0.35
traffic light,153,5.10,0.31
traffic light,154,5.13,0.31
traffic light,155,5.17,0.34
traffic light,156,5.20,0.36
traffic light,157,5.23,0.42
traffic light,158,5.27,0.42
traffic light,159,5.30,0.41
traffic light,160,5.33,0.37
traffic light,161,5.37,0.36
traffic light,162,5.40,0.38
traffic light,163,5.43,0.39
traffic light,164,5.47,0.38
traffic light,165,5.50,0.38
traffic light,166,5.53,0.38
traffic light,167,5.57,0.39
traffic light,168,5.60,0.39
traffic light,169,5.63,0.38
traffic light,170,5.67,0.38
traffic light,171,5.70,0.38
traffic light,172,5.73,0.38
traffic light,173,5.77,0.38
traffic light,174,5.80,0.38
traffic light,175,5.83,0.38
traffic light,176,5.87,0.39
traffic light,177,5.90,0.39
traffic light,178,5.93,0.38
traffic light,179,5.97,0.39
traffic light,180,6.00,0.39
traffic light,181,6.03,0.39
traffic light,182,6.07,0.38
traffic light,183,6.10,0.38
traffic light,184,6.13,0.38
traffic light,185,6.17,0.38
traffic light,186,6.20,0.38
traffic light,187,6.23,0.39
traffic light,188,6.27,0.39
traffic light,189,6.30,0.39
traffic light,190,6.33,0.38
traffic light,191,6.37,0.38
traffic light,192,6.40,0.39
traffic light,193,6.43,0.38
traffic light,194,6.47,0.38
traffic light,195,6.50,0.38
traffic light,196,6.53,0.38
traffic light,197,6.57,0.38
traffic light,198,6.60,0.38
traffic light,199,6.63,0.38
traffic light,200,6.67,0.38
traffic light,201,6.70,0.38
traffic light,202,6.73,0.38
traffic light,203,6.77,0.38
traffic light,204,6.80,0.38
traffic light,205,6.83,0.38
traffic light,206,6.87,0.38
traffic light,207,6.90,0.38
traffic light,208,6.93,0.38
traffic light,209,6.97,0.38
traffic light,210,7.00,0.38
traffic light,211,7.03,0.38
traffic light,212,7.07,0.38
traffic light,213,7.10,0.38
traffic light,214,7.13,0.38
traffic light,215,7.17,0.38
traffic light,216,7.20,0.38
traffic light,217,7.23,0.38
traffic light,218,7.27,0.38
traffic light,219,7.30,0.38
traffic light,220,7.33,0.39
traffic light,221,7.37,0.39
traffic light,222,7.40,0.39
traffic light,223,7.43,0.39
traffic light,224,7.47,0.39
traffic light,225,7.50,0.38
traffic light,226,7.53,0.39
traffic light,227,7.57,0.28
traffic light,232,7.73,0.31
bird,347,11.57,0.61
bird,348,11.60,0.53
bird,349,11.63,0.49
bird,350,11.67,0.54
